surface,n_bhk,sa1,pool,sa9,sa7,sa2,sa5,price
-0.2594407652950367,2.0,0,0,0,1,0,0,5.7
-0.7126290378837982,2.0,0,1,0,0,0,0,4.843
-0.1314817236229158,2.0,0,1,0,0,0,0,8.059000000000001
0.4443339639016281,3.0,0,1,0,0,0,0,13.6
-0.6006648764206924,2.0,0,0,0,0,0,1,4.5520000000000005
-0.6646443972567528,2.0,0,0,0,0,0,1,4.73
-0.5953332496843541,2.0,0,0,0,0,0,0,4.7700000000000005
-0.9338915474418406,1.0,0,1,0,0,0,0,4.2
-0.1234842835184082,2.5,0,1,0,0,0,0,6.938
-0.4860349015894175,2.0,0,1,0,0,0,0,6.841
-0.5633434892663238,2.0,0,0,0,0,0,0,4.791
0.5323058050512113,3.0,0,1,0,0,0,0,9.2
0.644269966514317,3.0,1,1,0,0,0,0,12.9
3.064828504811937,4.0,0,1,0,0,0,0,21.5
0.2923826019159846,3.0,0,1,0,0,0,0,10.3
-0.8485855196604266,1.0,0,1,0,0,0,0,6.5
-0.1048235899412239,3.0,0,1,0,0,0,0,6.7
-0.8325906394514115,3.0,0,1,0,0,0,0,2.6
-0.3020937791857437,2.0,0,0,0,0,0,0,7.0
0.3323698024385224,3.0,0,1,0,0,1,0,8.9
-0.6833050908339372,2.0,0,0,0,0,0,1,4.349
-0.2247851915088373,3.0,0,0,0,0,0,0,6.6000000000000005
0.0284670784672352,2.0,0,1,0,0,0,0,11.8
0.0178038249945585,2.0,0,0,0,0,0,0,7.800000000000001
-0.5353524489005473,2.0,0,0,0,0,0,0,5.9
-1.301773792249188,1.0,0,0,0,0,1,0,3.949
1.8278911019814352,5.0,0,1,0,0,0,0,16.3
-0.2887647123448977,2.5,0,0,0,0,0,1,5.522
1.5773046453735318,3.0,0,0,0,1,0,0,10.0
0.7495695945569998,3.0,0,1,0,0,0,0,10.0
-0.422055380753357,2.0,0,0,0,0,0,0,11.1
1.5186567512738098,3.0,0,1,1,0,0,0,18.7
-0.6113281298933692,2.0,0,0,0,0,0,0,4.759
-1.373750753189756,1.0,0,0,0,0,0,0,3.3000000000000003
0.097778226039634,2.0,0,0,0,0,0,0,8.3
1.1241163727847705,3.0,0,1,1,0,0,0,17.0
